Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
Franko Skugor,Tommy Robredo,Geneva,22-May-17,Clay,First Round,344,271,0,2,15,8,1,46,64,10,19,4,11,44,99,100,1,11,6,2,37,64,18,35,2,5,27,83,82
Jared Donaldson,Victor Estrella Burgos,Geneva,22-May-17,Clay,First Round,72,89,0,2,12,4,4,23,29,14,25,4,7,26,57,63,0,6,3,1,22,35,9,22,1,2,17,54,48
Andrey Kuznetsov,Albert Ramos-Vinolas,Geneva,22-May-17,Clay,Second Round,85,20,0,2,13,5,4,28,44,20,31,4,6,25,54,73,0,6,1,2,17,28,12,26,1,3,27,75,56
Sam Querrey,Franko Skugor,Geneva,22-May-17,Clay,Second Round,28,344,0,2,12,7,2,25,28,11,14,3,5,16,39,52,0,5,2,2,16,22,7,17,0,0,6,42,29
Steve Johnson,Horacio Zeballos,Geneva,22-May-17,Clay,Second Round,26,64,0,2,12,5,1,20,22,12,16,4,5,18,41,50,0,4,1,1,19,29,4,12,0,0,6,38,29
Cedrik-Marcel Stebe,Janko Tipsarevic,Geneva,22-May-17,Clay,Second Round,314,61,1,1,6,0,1,21,36,4,12,3,4,16,30,41,1,5,2,1,11,20,3,10,3,7,23,48,37
Kevin Anderson,Jared Donaldson,Geneva,22-May-17,Clay,Second Round,62,72,0,2,18,15,2,51,65,21,36,3,11,52,126,124,1,12,10,2,47,72,27,54,0,3,29,101,103
Mischa Zverev,John Isner,Geneva,22-May-17,Clay,Second Round,33,22,0,2,18,11,1,54,63,17,27,2,3,34,98,105,1,14,9,0,49,74,15,24,0,4,19,90,83
Kei Nishikori,Mikhail Kukushkin,Geneva,22-May-17,Clay,Second Round,9,88,0,2,12,6,1,31,38,13,22,2,8,24,62,68,0,7,0,0,29,46,9,16,0,2,16,60,54
Stan Wawrinka,Rogerio Dutra Silva,Geneva,22-May-17,Clay,Second Round,3,78,1,1,5,3,0,9,11,8,12,1,4,8,21,25,0,2,0,3,9,11,4,10,0,2,6,23,19
Andrey Kuznetsov,Cedrik-Marcel Stebe,Geneva,22-May-17,Clay,Quarter-finals,85,314,0,2,14,4,1,34,46,15,37,5,12,39,95,88,1,13,3,4,39,60,17,35,4,6,34,83,90
Kei Nishikori,Kevin Anderson,Geneva,22-May-17,Clay,Quarter-finals,9,62,0,2,15,0,1,48,60,19,36,1,5,32,98,99,1,16,14,1,44,62,22,36,2,6,29,96,95
Stan Wawrinka,Sam Querrey,Geneva,22-May-17,Clay,Quarter-finals,3,28,0,2,17,8,4,38,47,20,39,4,6,32,84,90,1,13,6,2,32,44,20,40,2,5,28,86,80
Mischa Zverev,Steve Johnson,Geneva,22-May-17,Clay,Quarter-finals,33,26,0,2,13,6,1,30,37,12,18,3,6,36,83,78,0,9,1,3,24,41,23,42,1,5,13,55,60
Stan Wawrinka,Andrey Kuznetsov,Geneva,22-May-17,Clay,Semi-finals,3,85,0,2,13,9,0,27,34,29,43,1,6,27,75,83,0,9,3,2,28,40,20,35,0,6,21,77,69
Mischa Zverev,Kei Nishikori,Geneva,22-May-17,Clay,Semi-finals,33,9,0,2,15,3,1,43,61,16,34,4,8,40,96,99,1,13,4,4,28,51,28,45,3,7,36,95,92
Stan Wawrinka,Mischa Zverev,Geneva,22-May-17,Clay,Finals,3,33,0,2,16,3,2,41,55,11,26,5,18,48,105,100,1,12,5,2,38,62,19,43,3,8,29,81,86
Jordan Thompson,Benoit Paire,Lyon,22-May-17,Clay,First Round,90,45,0,2,19,6,3,47,72,26,54,6,22,55,130,128,1,17,15,7,46,66,29,64,5,11,53,126,128
Nikoloz Basilashvili,Borna Coric,Lyon,22-May-17,Clay,First Round,71,40,0,2,17,3,5,47,66,19,39,4,14,46,113,112,1,15,14,5,46,63,21,50,3,9,39,105,106
Andreas Seppi,Damir Dzumhur,Lyon,22-May-17,Clay,First Round,83,96,0,2,13,1,0,15,28,27,42,4,7,34,77,76,0,10,0,3,25,43,18,34,3,5,28,70,71
Gilles Simon,Daniil Medvedev,Lyon,22-May-17,Clay,First Round,32,65,0,2,19,4,2,48,59,24,45,4,9,42,106,114,1,14,1,5,41,57,23,49,1,8,32,104,96
Hyeon Chung,Donald Young,Lyon,22-May-17,Clay,First Round,68,51,0,2,12,8,1,30,31,3,7,4,6,28,58,61,0,5,0,1,20,40,10,18,0,1,5,38,35
Nicolas Kicker,Dustin Brown,Lyon,22-May-17,Clay,First Round,94,75,0,2,12,1,1,29,39,6,13,4,5,25,54,60,0,8,5,7,16,20,13,34,2,2,17,52,46
Juan Martin del Potro,Quentin Halys,Lyon,22-May-17,Clay,First Round,30,126,0,2,13,6,2,35,44,11,22,3,7,29,72,75,0,9,12,5,27,40,16,32,1,4,20,66,63
Gastao Elias,Radu Albot,Lyon,22-May-17,Clay,First Round,125,86,0,2,14,7,2,34,46,15,31,4,10,38,88,87,1,12,0,0,34,57,16,31,3,3,28,77,78
Karen Khachanov,Renzo Olivo,Lyon,22-May-17,Clay,First Round,54,91,0,2,12,4,4,21,28,13,23,4,6,29,57,63,0,6,4,2,20,31,8,26,1,2,17,51,45
Carlos Berlocq,Tennys Sandgren,Lyon,22-May-17,Clay,First Round,63,112,0,2,12,3,1,29,39,9,17,4,10,35,70,73,0,6,1,2,29,50,6,20,1,2,18,56,53
Denis Istomin,Thanasi Kokkinakis,Lyon,22-May-17,Clay,First Round,81,.,0,2,12,10,0,34,39,7,9,2,4,19,51,60,0,7,3,3,20,26,12,25,0,0,7,48,39
Kyle Edmund,Thiago Monteiro,Lyon,22-May-17,Clay,First Round,50,95,0,2,14,4,3,31,41,15,33,4,11,34,79,80,1,11,6,0,31,52,14,27,3,6,28,74,73
Nikoloz Basilashvili,Andreas Seppi,Lyon,22-May-17,Clay,Second Round,71,83,0,2,12,2,2,32,49,12,22,3,6,18,51,62,0,8,4,0,24,34,9,17,1,6,27,71,60
Jo-Wilfried Tsonga,Carlos Berlocq,Lyon,22-May-17,Clay,Second Round,13,63,0,2,18,8,1,38,47,15,31,6,16,43,100,96,1,12,0,2,38,68,19,32,2,2,25,78,82
Milos Raonic,Denis Istomin,Lyon,22-May-17,Clay,Second Round,6,81,0,2,12,8,1,25,30,16,25,3,5,26,55,67,0,7,3,2,16,27,13,28,1,1,14,55,43
Tomas Berdych,Hyeon Chung,Lyon,22-May-17,Clay,Second Round,14,68,0,2,13,5,1,27,36,11,23,5,7,31,61,69,0,8,0,8,26,39,4,22,3,4,21,59,51
Karen Khachanov,Jordan Thompson,Lyon,22-May-17,Clay,Second Round,54,90,0,2,13,5,3,29,37,18,26,3,7,36,79,83,0,8,6,2,28,47,15,32,1,5,16,63,59
Gastao Elias,Juan Martin del Potro,Lyon,22-May-17,Clay,Second Round,125,30,0,2,13,6,2,28,42,23,41,3,8,33,76,84,0,10,3,3,31,51,12,25,2,9,32,83,75
Gilles Simon,Kyle Edmund,Lyon,22-May-17,Clay,Second Round,32,50,0,2,16,2,4,47,72,22,43,4,10,37,103,106,1,15,3,2,46,66,20,37,3,11,46,115,112
Nicolas Kicker,Nick Kyrgios,Lyon,22-May-17,Clay,Second Round,94,19,0,2,14,1,0,31,48,18,25,4,12,33,81,82,1,12,16,9,35,48,13,33,3,10,24,73,72
Milos Raonic,Gastao Elias,Lyon,22-May-17,Clay,Quarter-finals,6,125,0,2,12,4,7,24,29,27,47,2,8,22,61,73,0,7,3,3,25,32,14,29,0,3,25,76,64
Tomas Berdych,Gilles Simon,Lyon,22-May-17,Clay,Quarter-finals,14,32,0,2,12,4,1,22,29,15,23,4,7,24,51,61,0,4,0,1,12,21,15,30,0,5,15,52,42
Jo-Wilfried Tsonga,Karen Khachanov,Lyon,22-May-17,Clay,Quarter-finals,13,54,0,2,12,3,1,20,24,12,14,4,9,28,57,60,0,4,3,4,16,25,13,32,0,0,6,38,35
Nikoloz Basilashvili,Nicolas Kicker,Lyon,22-May-17,Clay,Quarter-finals,71,94,0,2,12,2,1,22,30,10,16,4,8,31,62,63,0,4,2,1,18,33,13,29,0,0,14,46,45
Tomas Berdych,Milos Raonic,Lyon,22-May-17,Clay,Semi-finals,14,6,0,2,14,9,0,42,54,18,32,1,2,21,73,81,0,12,17,3,37,45,15,28,1,4,26,86,78
Jo-Wilfried Tsonga,Nikoloz Basilashvili,Lyon,22-May-17,Clay,Semi-finals,13,71,0,2,15,14,6,31,42,20,39,5,15,41,87,92,1,9,1,4,34,56,12,31,2,10,30,81,76
Jo-Wilfried Tsonga,Tomas Berdych,Lyon,22-May-17,Clay,Finals,13,14,0,2,14,13,0,39,42,13,23,1,5,29,81,81,0,11,4,3,35,48,17,33,0,2,13,65,65
Daniel Masur,Adam Pavlasek,"French Open, Paris",29-May-17,Clay,Qualifying,219,97,0,2,14,1,3,44,62,13,35,4,16,31,79,88,1,13,5,4,27,40,21,39,4,14,40,97,88
Maxime Hamou,Adrian Menendez-Maceiras,"French Open, Paris",29-May-17,Clay,Qualifying,287,150,0,2,13,3,1,23,30,12,23,5,13,33,64,68,0,7,1,4,22,37,9,27,2,3,18,53,49
Andrey Rublev,Agustin Velotti,"French Open, Paris",29-May-17,Clay,Qualifying,118,247,0,2,12,4,0,17,21,17,23,4,9,26,55,60,0,4,3,3,21,27,8,28,0,2,10,44,39
Mackenzie McDonald,Akira Santillan,"French Open, Paris",29-May-17,Clay,Qualifying,232,172,0,2,12,0,2,27,47,10,16,6,10,31,55,68,0,5,4,5,14,26,10,29,2,8,26,63,50
Roberto Quiroz,Aldin Setkic,"French Open, Paris",29-May-17,Clay,Qualifying,236,197,0,2,16,10,2,46,68,22,39,3,5,35,97,103,1,14,2,8,47,64,15,33,2,14,39,107,101
Elias Ymer,Andrej Martin,"French Open, Paris",29-May-17,Clay,Qualifying,241,106,0,2,15,0,4,33,51,16,31,5,9,37,89,86,1,13,1,1,33,50,19,39,4,8,33,82,85
Pedro Sousa,Andrew Whittington,"French Open, Paris",29-May-17,Clay,Qualifying,155,180,0,2,12,1,1,25,37,11,14,4,5,22,48,58,0,5,3,2,18,31,8,17,0,5,15,51,41
Laslo Djere,Benjamin Becker,"French Open, Paris",29-May-17,Clay,Qualifying,135,170,0,2,14,4,4,36,51,17,32,4,9,33,75,86,1,10,0,6,25,36,17,39,3,7,30,83,72
Mirza Basic,Blaz Rola,"French Open, Paris",29-May-17,Clay,Qualifying,165,214,0,2,13,3,2,30,42,19,29,2,4,26,63,75,0,9,7,2,27,37,10,26,1,7,22,71,59
Maximilian Marterer,Brydan Klein,"French Open, Paris",29-May-17,Clay,Qualifying,130,216,0,2,12,2,1,22,28,15,26,4,5,23,49,60,0,4,5,3,19,28,7,21,0,3,17,54,43
Alessandro Giannessi,Calvin Hemery,"French Open, Paris",29-May-17,Clay,Qualifying,109,234,0,2,13,1,1,30,42,6,10,5,19,47,97,83,0,8,6,7,43,68,7,29,2,3,16,52,66
Simone Bolelli,Christian Garin,"French Open, Paris",29-May-17,Clay,Qualifying,470,203,0,2,18,4,2,56,73,18,34,3,5,32,103,106,1,18,7,0,45,61,26,42,4,8,33,107,104
Gerald Melzer,Constant Lestienne,"French Open, Paris",29-May-17,Clay,Qualifying,112,259,0,2,12,1,2,15,22,17,28,6,9,32,56,64,0,4,2,9,17,30,7,26,2,3,18,50,42
Stefan Kozlov,Corentin Moutet,"French Open, Paris",29-May-17,Clay,Qualifying,144,348,0,2,15,1,3,27,51,18,35,7,14,50,101,95,1,15,1,5,38,70,13,31,7,13,41,86,92
Guido Andreozzi,Daniel Brands,"French Open, Paris",29-May-17,Clay,Qualifying,124,198,0,2,12,3,2,30,38,14,32,4,12,28,55,72,0,5,6,2,21,35,6,20,1,8,26,70,53
Yasutaka Uchiyama,Daniel Gimeno-Traver,"French Open, Paris",29-May-17,Clay,Qualifying,181,178,0,2,13,4,1,31,47,8,19,4,8,41,82,80,0,10,0,5,29,55,12,27,3,4,27,66,68
Reilly Opelka,Daniel Munoz de la Nava,"French Open, Paris",29-May-17,Clay,Qualifying,151,573,0,2,17,14,3,44,55,23,42,1,3,27,95,94,1,16,6,1,48,63,20,32,1,3,30,97,98
Marton Fucsovics,Darian King,"French Open, Paris",29-May-17,Clay,Qualifying,148,116,0,2,12,2,1,27,32,11,15,3,7,21,52,59,0,6,1,1,18,32,13,20,0,0,9,47,40
Marius Copil,Denis Shapovalov,"French Open, Paris",29-May-17,Clay,Qualifying,94,193,0,2,16,2,1,30,37,13,24,6,10,33,69,76,1,8,1,6,18,34,18,35,2,3,18,61,54
Uladzimir Ignatik,Di Wu,"French Open, Paris",29-May-17,Clay,Qualifying,149,221,0,2,12,8,0,19,29,6,9,6,9,31,52,56,0,3,1,0,12,29,9,23,1,4,13,38,34
Ricardo Ojeda Lara,Duckhee Lee,"French Open, Paris",29-May-17,Clay,Qualifying,233,131,0,2,12,1,0,22,36,8,16,7,12,39,68,69,0,5,0,0,18,40,11,28,3,8,22,52,51
Arthur De Greef,Enrique Lopez-Perez,"French Open, Paris",29-May-17,Clay,Qualifying,127,220,0,2,13,6,0,25,36,13,18,4,7,33,66,71,0,6,7,3,27,36,6,30,1,1,16,54,49
Nicolas Jarry,Facundo Bagnis,"French Open, Paris",29-May-17,Clay,Qualifying,207,101,1,1,5,8,0,12,13,4,7,1,1,7,17,23,0,2,1,1,5,7,5,10,0,0,4,20,14
Gleb Sakharov,Federico Gaio,"French Open, Paris",29-May-17,Clay,Qualifying,215,158,0,2,19,8,1,48,68,31,46,2,7,43,119,122,1,17,9,5,47,64,29,55,1,4,35,114,111
Maxime Janvier,Geoffrey Blancaneaux,"French Open, Paris",29-May-17,Clay,Qualifying,271,453,0,2,12,5,2,35,50,13,32,4,9,28,60,76,0,7,1,4,23,31,9,29,2,9,34,82,66
Santiago Giraldo,Grega Zemlja,"French Open, Paris",29-May-17,Clay,Qualifying,107,224,0,2,12,4,1,21,25,16,23,3,10,26,58,63,0,5,3,4,16,25,16,33,0,0,11,48,43
Matija Pecotic,Gregoire Barrere,"French Open, Paris",29-May-17,Clay,Qualifying,505,379,0,2,18,5,6,47,66,29,56,4,9,37,101,113,1,15,4,6,39,56,25,45,3,14,46,122,110
Dennis Novikov,Henri Laaksonen,"French Open, Paris",29-May-17,Clay,Qualifying,174,105,0,2,12,5,3,24,26,15,28,3,7,22,54,61,0,5,2,4,16,26,16,28,0,1,15,54,47
Taro Daniel,Hiroki Moriya,"French Open, Paris",29-May-17,Clay,Qualifying,102,186,0,2,13,0,4,19,30,16,27,6,12,38,64,73,0,6,1,3,13,29,13,35,3,7,22,57,48
Jozef Kovalik,Igor Sijsling,"French Open, Paris",29-May-17,Clay,Qualifying,152,305,1,1,6,1,0,10,16,8,11,2,6,14,32,32,0,4,2,0,10,13,8,19,1,1,9,27,27
Salvatore Caruso,Inigo Cervantes,"French Open, Paris",29-May-17,Clay,Qualifying,199,163,0,2,13,0,2,29,39,12,25,4,8,31,70,72,0,9,6,4,22,32,17,38,2,4,23,64,62
Tim Smyczek,James McGee,"French Open, Paris",29-May-17,Clay,Qualifying,195,201,0,2,12,5,2,18,21,11,19,5,7,26,45,55,0,2,0,0,14,26,5,19,0,1,11,40,30
Norbert Gombos,Jason Jung,"French Open, Paris",29-May-17,Clay,Qualifying,93,166,0,2,12,7,0,35,45,10,18,2,2,18,54,63,0,8,4,3,27,34,9,20,0,2,18,63,54
Leonardo Mayer,Joao Souza,"French Open, Paris",29-May-17,Clay,Qualifying,154,140,0,2,12,5,3,21,29,10,18,5,11,27,49,58,0,3,0,2,17,34,5,15,1,1,16,47,38
Bradley Klahn,John-Patrick Smith,"French Open, Paris",29-May-17,Clay,Qualifying,525,228,0,2,12,2,2,23,28,15,21,3,13,25,58,63,0,5,3,0,29,50,4,8,0,1,11,49,44
Matteo Donati,Jonathan Eysseric,"French Open, Paris",29-May-17,Clay,Qualifying,231,276,0,2,12,1,1,31,49,13,20,3,7,28,62,72,0,7,6,3,22,32,12,30,1,7,25,69,59
Sergiy Stakhovsky,Kenny De Schepper,"French Open, Paris",29-May-17,Clay,Qualifying,123,147,0,2,16,6,2,38,53,18,35,4,7,36,98,92,1,16,5,1,46,72,16,26,4,9,32,88,94
Ilya Ivashka,Kimmer Coppejans,"French Open, Paris",29-May-17,Clay,Qualifying,202,167,0,2,12,1,4,20,26,9,20,6,9,26,42,55,0,4,2,4,10,22,6,20,2,3,17,46,33
Alejandro Gonzalez,Kristijan Mesaros,"French Open, Paris",29-May-17,Clay,Qualifying,418,252,0,2,18,7,2,63,92,20,53,4,7,41,109,124,1,18,2,3,46,66,22,43,5,12,62,145,130
Stefano Napolitano,Lorenzo Giustino,"French Open, Paris",29-May-17,Clay,Qualifying,187,175,0,2,12,5,0,26,39,17,26,3,6,26,59,69,0,8,2,3,22,33,11,26,1,4,22,65,55
Steven Diez,Lukas Lacko,"French Open, Paris",29-May-17,Clay,Qualifying,182,110,0,2,12,0,1,28,36,11,17,3,6,28,63,67,0,6,7,2,24,40,11,23,0,2,14,53,49
Jan Satral,Lukas Rosol,"French Open, Paris",29-May-17,Clay,Qualifying,161,194,0,2,16,10,2,33,46,30,46,2,11,31,93,94,1,14,8,1,44,61,18,32,1,8,29,92,91
Maximo Gonzalez,Marcelo Arevalo,"French Open, Paris",29-May-17,Clay,Qualifying,160,217,0,2,13,1,0,26,33,8,14,5,9,29,61,63,0,6,3,2,20,39,12,22,1,1,13,47,45
Luca Vanni,Marco Chiudinelli,"French Open, Paris",29-May-17,Clay,Qualifying,121,183,0,2,12,9,7,20,24,16,32,5,11,31,58,67,0,4,1,0,17,31,10,27,1,2,20,56,47
Bjorn Fratangelo,Matthew Ebden,"French Open, Paris",29-May-17,Clay,Qualifying,138,281,0,2,12,2,1,25,30,9,14,4,13,39,77,73,0,4,5,5,29,51,9,26,0,2,10,44,48
Marc Polmans,Michael Mmoh,"French Open, Paris",29-May-17,Clay,Qualifying,189,184,1,2,15,2,0,33,54,19,29,5,8,38,86,90,1,13,9,3,36,49,12,37,4,10,31,83,79
Vincent Millot,Miljan Zekic,"French Open, Paris",29-May-17,Clay,Qualifying,157,218,0,2,12,2,3,23,31,13,25,4,9,32,69,68,0,7,1,4,17,29,20,40,2,2,20,56,57
Oscar Otte,Mitchell Krueger,"French Open, Paris",29-May-17,Clay,Qualifying,223,177,0,2,12,4,3,24,30,10,16,4,7,22,40,56,0,3,0,1,8,20,10,20,0,4,12,46,30
Tobias Kamke,Rajeev Ram,"French Open, Paris",29-May-17,Clay,Qualifying,145,208,0,2,15,0,2,44,64,15,27,3,4,21,72,80,1,14,3,1,36,46,15,26,3,9,32,91,83
Guido Pella,Ramkumar Ramanathan,"French Open, Paris",29-May-17,Clay,Qualifying,115,269,0,2,12,1,1,23,26,9,15,4,10,26,49,58,0,3,2,1,16,31,7,18,0,0,9,41,32
Marco Cecchinato,Riccardo Bellotti,"French Open, Paris",29-May-17,Clay,Qualifying,104,204,0,2,12,1,3,24,42,10,19,5,12,35,69,69,0,8,0,4,26,47,8,22,3,8,27,61,61
Teymuraz Gabashvili,Roberto Carballes Baena,"French Open, Paris",29-May-17,Clay,Qualifying,146,134,0,2,15,5,2,33,44,20,42,5,10,39,91,92,1,13,3,5,33,60,19,31,4,8,33,86,85
Marco Trungelliti,Ruben Bemelmans,"French Open, Paris",29-May-17,Clay,Qualifying,162,125,0,2,18,4,5,43,55,20,41,5,10,38,87,101,1,12,2,4,31,44,18,43,2,6,33,96,82
Dmitry Popko,Ruben Ramirez Hidalgo,"French Open, Paris",29-May-17,Clay,Qualifying,190,168,0,2,12,1,2,17,23,15,26,5,10,30,54,62,0,6,1,2,17,33,7,21,2,4,17,49,41
Filip Krajinovic,Sam Groth,"French Open, Paris",29-May-17,Clay,Qualifying,206,209,0,2,16,3,1,37,53,19,31,4,7,43,104,99,1,14,14,9,38,53,23,51,3,10,28,84,89
Peter Gojowczyk,Stefano Travaglia,"French Open, Paris",29-May-17,Clay,Qualifying,141,159,0,2,18,12,10,45,60,35,71,5,11,45,113,125,1,15,6,3,37,56,31,57,3,13,51,131,119
Paul-Henri Mathieu,Tatsuma Ito,"French Open, Paris",29-May-17,Clay,Qualifying,120,173,0,2,18,5,6,45,53,12,30,5,18,47,105,104,1,11,9,5,41,55,17,50,1,3,26,83,84
Stefanos Tsitsipas,Thomas Fabbiano,"French Open, Paris",29-May-17,Clay,Qualifying,205,103,0,2,15,5,2,26,39,16,34,7,15,46,86,88,1,10,1,4,27,49,13,37,4,6,31,73,71
Joris De Loore,Ti Chen,"French Open, Paris",29-May-17,Clay,Qualifying,210,229,0,2,14,10,1,37,49,12,20,2,6,33,83,82,0,11,3,0,38,51,12,32,1,1,20,69,70
Blaz Kavcic,Tristan Lamasine,"French Open, Paris",29-May-17,Clay,Qualifying,117,212,0,2,19,5,5,64,91,13,34,6,16,49,116,126,1,16,4,3,50,79,17,37,4,11,48,125,115
Denis Kudla,Vaclav Safranek,"French Open, Paris",29-May-17,Clay,Qualifying,171,200,0,2,12,1,1,21,23,13,19,4,8,25,54,59,0,5,1,0,19,29,10,25,0,1,8,42,37
Casper Ruud,Yannik Reuter,"French Open, Paris",29-May-17,Clay,Qualifying,119,239,0,2,12,2,5,27,34,11,23,4,11,26,50,64,0,5,0,2,18,34,6,16,1,4,19,57,43
Peter Polansky,Yuki Bhambri,"French Open, Paris",29-May-17,Clay,Qualifying,132,245,0,2,14,6,1,40,57,21,39,2,2,28,78,89,0,12,5,3,34,52,16,26,2,8,35,96,85
Paul-Henri Mathieu,Alejandro Gonzalez,"French Open, Paris",29-May-17,Clay,Qualifying,120,418,0,2,13,4,2,27,39,11,20,5,9,29,54,67,0,6,2,1,21,43,4,11,2,3,21,59,46
Matteo Donati,Alessandro Giannessi,"French Open, Paris",29-May-17,Clay,Qualifying,231,109,0,2,16,4,3,52,73,19,34,2,3,31,92,102,1,15,5,2,42,63,19,29,2,6,36,107,97
Maxime Hamou,Blaz Kavcic,"French Open, Paris",29-May-17,Clay,Qualifying,287,117,0,2,14,4,6,39,54,22,45,3,7,33,82,94,0,11,6,4,41,63,8,19,2,14,38,99,87
Bjorn Fratangelo,Bradley Klahn,"French Open, Paris",29-May-17,Clay,Qualifying,138,525,0,2,13,1,0,32,41,22,32,1,7,24,74,78,0,10,3,3,25,31,25,43,0,1,19,73,69
Maxime Janvier,Casper Ruud,"French Open, Paris",29-May-17,Clay,Qualifying,271,119,0,2,13,2,5,38,48,13,26,2,4,27,72,78,0,10,2,0,26,46,19,26,1,8,23,74,68
Roberto Quiroz,Dennis Novikov,"French Open, Paris",29-May-17,Clay,Qualifying,236,174,0,2,13,8,2,29,35,19,24,1,4,27,71,75,0,9,1,5,34,52,10,19,0,0,11,59,55
Nicolas Jarry,Dmitry Popko,"French Open, Paris",29-May-17,Clay,Qualifying,207,190,0,2,12,5,1,28,35,14,21,2,5,22,61,64,0,7,3,0,26,40,13,21,0,1,14,56,53
Jan Satral,Elias Ymer,"French Open, Paris",29-May-17,Clay,Qualifying,161,241,0,2,15,2,3,27,37,20,42,6,11,44,95,91,1,14,2,3,34,51,17,44,5,8,32,79,83
Daniel Masur,Filip Krajinovic,"French Open, Paris",29-May-17,Clay,Qualifying,219,206,0,2,12,1,2,31,40,2,8,4,7,24,53,57,0,6,1,1,24,42,5,11,1,1,15,48,44
Stefanos Tsitsipas,Gleb Sakharov,"French Open, Paris",29-May-17,Clay,Qualifying,205,215,0,2,12,3,1,22,28,17,26,3,3,23,54,62,0,6,0,0,23,41,8,13,0,5,15,54,46
Marius Copil,Ilya Ivashka,"French Open, Paris",29-May-17,Clay,Qualifying,94,202,0,2,12,6,1,29,38,9,17,4,5,23,49,61,0,4,2,4,18,28,8,21,0,3,17,55,43
Peter Gojowczyk,Joris De Loore,"French Open, Paris",29-May-17,Clay,Qualifying,141,210,0,2,13,10,1,33,39,17,27,2,3,23,64,73,0,9,6,1,34,44,7,20,1,1,16,66,57
Oscar Otte,Laslo Djere,"French Open, Paris",29-May-17,Clay,Qualifying,223,135,0,2,16,4,1,53,85,19,50,6,19,56,117,128,1,17,1,10,36,61,25,56,7,23,63,135,124
Reilly Opelka,Leonardo Mayer,"French Open, Paris",29-May-17,Clay,Qualifying,151,154,0,2,18,13,5,49,67,20,36,3,4,28,91,97,1,16,13,2,44,61,19,30,3,7,34,103,97
Jozef Kovalik,Luca Vanni,"French Open, Paris",29-May-17,Clay,Qualifying,152,121,0,2,12,3,0,25,37,10,14,4,9,25,57,60,0,8,7,7,22,30,10,27,2,2,16,51,48
Teymuraz Gabashvili,Mackenzie McDonald,"French Open, Paris",29-May-17,Clay,Qualifying,146,232,0,2,17,1,4,38,60,18,31,6,13,37,84,93,1,13,5,2,33,53,14,31,4,6,35,91,82
Guido Pella,Marc Polmans,"French Open, Paris",29-May-17,Clay,Qualifying,115,189,0,2,18,5,1,44,73,18,33,6,9,50,105,112,1,14,0,4,50,81,5,24,4,8,44,106,99
Stefano Napolitano,Marton Fucsovics,"French Open, Paris",29-May-17,Clay,Qualifying,187,148,0,2,19,4,2,53,70,18,40,5,10,39,95,110,1,14,5,5,35,57,21,38,3,6,39,110,95
Taro Daniel,Matija Pecotic,"French Open, Paris",29-May-17,Clay,Qualifying,102,505,0,2,12,5,3,18,27,10,23,7,11,37,61,65,0,5,1,1,19,40,5,21,3,4,22,50,46
Simone Bolelli,Maximilian Marterer,"French Open, Paris",29-May-17,Clay,Qualifying,470,130,0,2,13,0,0,34,50,9,20,4,6,30,74,73,1,13,4,3,32,51,12,23,4,7,27,70,71
Arthur De Greef,Maximo Gonzalez,"French Open, Paris",29-May-17,Clay,Qualifying,127,160,0,2,16,5,5,35,47,22,45,4,11,38,90,95,1,12,4,0,41,61,11,29,3,5,35,92,87
Andrey Rublev,Mirza Basic,"French Open, Paris",29-May-17,Clay,Qualifying,118,165,0,2,17,6,3,30,44,29,44,4,7,42,99,101,1,13,1,2,33,50,24,49,2,5,29,88,86
Alexander Bublik,Peter Polansky,"French Open, Paris",29-May-17,Clay,Qualifying,143,132,0,2,15,12,10,42,58,18,37,3,12,38,100,98,1,16,1,2,47,59,15,41,4,13,35,95,97
Denis Kudla,Ricardo Ojeda Lara,"French Open, Paris",29-May-17,Clay,Qualifying,171,233,0,2,12,0,2,26,37,8,21,6,13,33,64,67,0,7,1,1,20,33,11,31,3,4,24,58,55
Marco Cecchinato,Salvatore Caruso,"French Open, Paris",29-May-17,Clay,Qualifying,104,199,0,2,12,1,1,26,40,12,15,4,5,24,43,62,0,3,1,0,12,28,7,15,0,3,17,55,36
Sergiy Stakhovsky,Stefan Kozlov,"French Open, Paris",29-May-17,Clay,Qualifying,123,144,0,2,18,9,4,52,68,11,32,6,10,43,100,106,1,15,1,6,33,52,24,48,4,8,37,100,94
Pedro Sousa,Steven Diez,"French Open, Paris",29-May-17,Clay,Qualifying,155,182,0,2,13,3,3,39,60,5,11,5,15,38,76,82,0,8,0,2,24,48,14,28,3,6,27,71,65
Guido Andreozzi,Tim Smyczek,"French Open, Paris",29-May-17,Clay,Qualifying,124,195,0,2,13,4,1,35,48,8,22,4,7,24,62,67,1,10,7,1,26,34,12,28,3,4,27,70,65
